prefix,expected_origin,unexpected_origin
108.165.58.0/24,AS397373,AS205320
108.165.89.0/24,AS8881,AS60721
115.186.53.0/24,AS0,AS23750
131.161.49.0/24,AS264368,AS52655
154.86.16.0/23,AS137535,AS18464
154.86.18.0/23,AS140227,AS18464
154.86.20.0/23,AS140227,AS18464
168.121.159.0/24,AS263421,AS203
172.252.158.0/24,AS214271,AS211256
179.61.142.0/24,AS212238,AS142519
179.61.209.0/24,AS64267,AS61317
181.215.73.0/24,AS834,AS16509
185.221.22.0/24,AS212477,AS147291
185.221.23.0/24,AS212477,AS147291
191.96.193.0/24,AS212238,AS21859
191.96.253.0/24,AS212238,AS147186
194.143.221.0/24,AS834,AS57844
202.126.97.0/24,AS14618,AS834
205.234.148.0/24,AS212238,AS23470
207.176.12.0/24,AS12491,AS64444
50.114.182.0/24,AS14618,AS51722
50.31.161.0/24,AS212238,AS22773
77.242.156.0/24,AS5065,AS834
87.120.5.0/24,AS211437,AS200385
88.151.57.0/24,AS5065,AS7029
89.116.166.0/24,AS396356,AS46844
89.213.5.0/24,AS834,AS147291
93.92.22.0/23,AS7018,AS9087
94.129.5.0/24,AS47589,AS19905
113.203.231.0/24,AS138241,AS6079
142.214.144.0/22,AS396246,AS8100
168.227.16.0/24,AS263980,AS37468
172.252.133.0/24,AS214238,AS60721
172.252.159.0/24,AS214238,AS60721
179.124.130.0/24,AS263612,AS37468
185.33.47.0/24,AS199826,AS200697
188.253.122.0/24,AS38136,AS3813
190.89.247.0/24,AS270413,AS269410
191.37.228.0/24,AS263374,AS37468
192.192.1.0/24,AS17716,AS26619
193.32.86.0/24,AS949,AS34681
199.74.188.0/24,AS19905,AS188
200.192.10.0/24,AS4230,AS147138
203.25.240.0/24,AS396982,AS17378
204.14.75.0/24,AS834,AS397966
207.59.33.0/24,AS53478,AS53748
31.6.14.0/24,AS215764,AS199695
50.114.182.0/24,AS14618,AS51722
87.120.5.0/24,AS211437,AS200385
89.116.132.0/24,AS396356,AS834
89.116.166.0/24,AS396356,AS46844
89.117.118.0/24,AS396356,AS834
94.129.5.0/24,AS47589,AS19905
94.129.6.0/24,AS47589,AS19905
103.83.43.0/24,AS401783,AS212609
141.11.39.0/24,AS16276,AS9304
151.242.133.0/24,AS150249,AS214481
154.201.94.0/23,AS401696,AS666666
154.201.95.0/24,AS401696,AS666666
154.201.95.101/32,AS401696,AS666666
154.201.95.106/32,AS401696,AS666666
154.201.95.107/32,AS401696,AS666666
154.201.95.108/32,AS401696,AS666666
154.201.95.109/32,AS401696,AS666666
154.201.95.11/32,AS401696,AS666666
154.201.95.110/32,AS401696,AS666666
154.201.95.113/32,AS401696,AS666666
154.201.95.114/32,AS401696,AS666666
154.201.95.115/32,AS401696,AS666666
154.201.95.116/32,AS401696,AS666666
154.201.95.117/32,AS401696,AS666666
154.201.95.118/32,AS401696,AS666666
154.201.95.119/32,AS401696,AS666666
154.201.95.140/32,AS401696,AS666666
154.201.95.141/32,AS401696,AS666666
154.201.95.142/32,AS401696,AS666666
154.201.95.143/32,AS401696,AS666666
154.201.95.144/32,AS401696,AS666666
154.201.95.145/32,AS401696,AS666666
154.201.95.151/32,AS401696,AS666666
154.201.95.153/32,AS401696,AS666666
154.201.95.155/32,AS401696,AS666666
154.201.95.201/32,AS401696,AS666666
154.201.95.212/32,AS401696,AS666666
154.201.95.214/32,AS401696,AS666666
154.201.95.219/32,AS401696,AS666666
154.201.95.220/32,AS401696,AS666666
154.201.95.222/32,AS401696,AS666666
154.201.95.228/32,AS401696,AS666666
154.201.95.232/32,AS401696,AS666666
154.213.176.0/20,AS54801,AS51396
154.214.224.0/19,AS328608,AS62387
154.216.250.0/24,AS61461,AS9009
154.218.192.0/18,AS61461,AS9009
154.94.237.0/24,AS17561,AS44559
154.94.240.0/20,AS11427,AS44559
156.239.16.0/21,AS17561,AS4766
156.239.48.0/22,AS8796,AS397630
156.249.64.0/18,AS17561,AS269070
164.153.231.0/24,AS16570,AS16276
172.120.28.0/24,AS834,AS9304
178.239.112.0/24,AS201398,AS206378
192.192.0.0/16,AS1659,AS27651
193.187.110.0/23,AS834,AS393406
197.88.0.0/13,AS3741,AS5713
200.229.22.0/24,AS272891,AS203963
207.226.0.0/16,AS3491,23304
23.27.241.0/24,AS214432,AS174
31.57.183.0/24,AS133337,AS29802
4.240.0.0/12,AS8075,AS14593
46.21.88.0/22,AS16509,AS34636
46.70.222.0/24,AS151704,AS18811
5.83.209.0/24,AS14618,AS214432
64.50.185.0/24,AS3223,AS150654
66.92.164.0/23,AS7029,AS198584
76.191.64.0/18,AS11404,AS2516
78.109.234.0/24,AS19905,AS230214
92.62.253.0/24,AS20473,AS10103
95.134.192.0/24,AS3320,AS4001163
99.224.0.0/11,AS812,AS134990
